RT,expName,currWordCategory,currWordNumber,currImageCategory,currImageNumber,pressedKeyNum,pressedKeyName,error,,,,Error rate
0.47188,Experiment4Metamer_ResponseGroup1.m,2,17,1,1,20,q,1,,,,
0.48924,Experiment4Metamer_ResponseGroup1.m,1,17,1,11,19,p,1,,,,
0.5998,Experiment4Metamer_ResponseGroup1.m,2,19,1,4,20,q,1,,,,
0.024955,Experiment4Metamer_ResponseGroup1.m,2,20,1,2,20,q,1,,,,
0.71562,Experiment4Metamer_ResponseGroup1.m,2,3,2,18,20,q,1,,,,
0.60485,Experiment4Metamer_ResponseGroup1.m,1,17,1,5,19,p,1,,,,
0.077917,Experiment4Metamer_ResponseGroup1.m,2,15,1,20,20,q,1,,,,
0.15162,Experiment4Metamer_ResponseGroup1.m,1,16,1,20,19,p,1,,,,
0.2066,Experiment4Metamer_ResponseGroup1.m,2,11,2,20,20,q,1,,,,
0.0017858,Experiment4Metamer_ResponseGroup1.m,2,17,1,16,20,q,1,,,,
0.0076498,Experiment4Metamer_ResponseGroup1.m,2,9,1,3,20,q,1,,,,
0.0017818,Experiment4Metamer_ResponseGroup1.m,1,7,2,20,19,p,1,,,,
0.19902,Experiment4Metamer_ResponseGroup1.m,2,6,1,15,20,q,1,,,,
0.0769,Experiment4Metamer_ResponseGroup1.m,1,17,1,9,19,p,1,,,,
0.011587,Experiment4Metamer_ResponseGroup1.m,1,10,1,11,19,p,1,,,,
0.001767,Experiment4Metamer_ResponseGroup1.m,1,7,1,11,19,p,1,,,,
0.054945,Experiment4Metamer_ResponseGroup1.m,2,12,2,8,20,q,1,,,,
0.049689,Experiment4Metamer_ResponseGroup1.m,1,5,2,8,19,p,1,,,,
0.13294,Experiment4Metamer_ResponseGroup1.m,1,11,2,3,19,p,1,,,,
0.27474,Experiment4Metamer_ResponseGroup1.m,1,14,2,14,19,p,1,,,,
0.050543,Experiment4Metamer_ResponseGroup1.m,1,14,2,5,19,p,1,,,,
0.0019613,Experiment4Metamer_ResponseGroup1.m,2,1,2,1,20,q,1,,,,
0.0062278,Experiment4Metamer_ResponseGroup1.m,2,11,2,15,20,q,1,,,,
0.0017514,Experiment4Metamer_ResponseGroup1.m,1,18,1,8,19,p,1,,,,
0.0018744,Experiment4Metamer_ResponseGroup1.m,2,19,2,11,20,q,1,,,,
0.0017819,Experiment4Metamer_ResponseGroup1.m,1,13,2,20,19,p,1,,,,
0.00601,Experiment4Metamer_ResponseGroup1.m,2,13,1,14,20,q,1,,,,
0.0019698,Experiment4Metamer_ResponseGroup1.m,1,12,1,9,19,p,1,,,,
0.0019268,Experiment4Metamer_ResponseGroup1.m,2,1,2,4,20,q,1,,,,
0.14111,Experiment4Metamer_ResponseGroup1.m,2,7,2,19,20,q,1,,,,
0.00185,Experiment4Metamer_ResponseGroup1.m,2,6,1,5,20,q,1,,,,
0.1163,Experiment4Metamer_ResponseGroup1.m,2,18,2,14,20,q,1,,,,
0.44095,Experiment4Metamer_ResponseGroup1.m,2,4,2,19,20,q,1,,,,
0.10361,Experiment4Metamer_ResponseGroup1.m,2,6,2,9,20,q,1,,,,
0.094096,Experiment4Metamer_ResponseGroup1.m,2,13,1,14,20,q,1,,,,
0.088608,Experiment4Metamer_ResponseGroup1.m,2,20,2,11,20,q,1,,,,
0.32382,Experiment4Metamer_ResponseGroup1.m,2,20,2,15,20,q,1,,,,
0.19774,Experiment4Metamer_ResponseGroup1.m,2,5,1,16,20,q,1,,,,
0.0026337,Experiment4Metamer_ResponseGroup1.m,2,4,2,16,20,q,1,,,,
0.014335,Experiment4Metamer_ResponseGroup1.m,2,3,2,8,20,q,1,,,,
0.092427,Experiment4Metamer_ResponseGroup1.m,2,11,2,18,20,q,1,,,,
0.026457,Experiment4Metamer_ResponseGroup1.m,2,2,1,15,20,q,1,,,,
0.070616,Experiment4Metamer_ResponseGroup1.m,2,18,1,9,20,q,1,,,,
0.0017585,Experiment4Metamer_ResponseGroup1.m,2,17,1,2,20,q,1,,,,
0.61668,Experiment4Metamer_ResponseGroup1.m,2,1,2,7,20,q,1,,,,
